,pred_dust_percent,speed_discrete,dust>50,dust>35,dust>25,dust>15,dust>5,collected_on_localtime,is_rev1,camera_location,camera_location_grouped,latitude,longitude,robot_name,operation_time,id,collected_on_localtime,speed_kph
61003,0.0,A:0-2,False,False,False,False,False,2022-09-02 11:43:50.983000-05:00,loamy,side-right-right,rev1_side_rear,44.66438619999999,-98.8078955,loamy_756,daytime,631d97f9922c0215f54f849f,2022-09-02 11:43:50.983000-05:00,0.015625
218115,0.0,A:0-2,False,False,False,False,False,2022-10-21 13:23:44.283000-05:00,peaty,side-left-right,rev1_side_rear,41.58268899999999,-90.8353777,peaty_07,daytime,6360cb8735b780abc72ae55e,2022-10-21 13:23:44.283000-05:00,0.0078125
153417,0.0,A:0-2,False,False,False,False,False,2021-11-03 11:21:04.975000-05:00,loamy,front-center-right,rev1_front,43.6126706,-94.112874,loamy_735,daytime,618f0b1d52a28c1fe4a4a237,2021-11-03 11:21:04.975000-05:00,0.0078125
75124,0.13809204101562,B:2-10,False,False,False,False,False,2021-11-19 17:46:36.832000-06:00,peaty,rear-right,rev1_rear,41.7803826,-93.6298102,peaty_04,nightime,61b120ebd46abb209a9e5349,2021-11-19 17:46:36.832000-06:00,8.87109375
198479,0.0,D:25+,False,False,False,False,False,2022-03-04 15:22:46.450000-06:00,loamy,side-right-right,rev1_side_rear,30.892468999999977,-96.6755258,loamy_733,daytime,62810fb7cd5d54d8b50ca697,2022-03-04 15:22:46.450000-06:00,25.203125
231226,0.0,A:0-2,False,False,False,False,False,2022-05-07 09:57:19.065000-05:00,hitchhiker,side-left-left,rev1_side_rear,43.17196639999999,-91.367894,hitchhiker_26,daytime,62c76948bb79aae74d817dfc,2022-05-07 09:57:19.065000-05:00,0.015625
26114,0.0,A:0-2,False,False,False,False,False,2023-01-11 14:04:23.245000-06:00,loamy,front-right-right,rev1_side_front,36.22247389999999,-101.1821372,loamy_851,daytime,63c77b56563cec7f52fd7e71,2023-01-11 14:04:23.245000-06:00,0.00390625
51113,0.49209594726561995,A:0-2,False,False,False,False,False,2023-03-08 21:38:26.048000-06:00,loamy,front-right-left,rev1_side_front,36.35940809999999,-100.9456618,loamy_851,nightime,640959daf9e2d95a08c6d7ee,2023-03-08 21:38:26.048000-06:00,1.15625
108185,0.0,C:10-25,False,False,False,False,False,2022-05-02 18:54:38.987000-05:00,loamy,side-left-left,rev1_side_rear,41.63110699999999,-89.3272163,loamy_752,daytime,62865f82371399a4bc6faa18,2022-05-02 18:54:38.987000-05:00,12.84765625
117164,0.0,A:0-2,False,False,False,False,False,2021-10-18 06:57:17.544000-05:00,loamy,rear-right,rev1_rear,43.7652143,-96.5486451,loamy_733,nightime,6173ca2a21095c477b702e31,2021-10-18 06:57:17.544000-05:00,1.890625
